tconst,FullText
tt0114099,the passion of darkly noon
tt0114193,project: metalbeast
tt0114196,proteus
tt0114306,rumpelstiltskin
tt0114388,"sense and sensibility: rich mr. dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. two daughters are the titular opposites. mrs. dashwood and her daughters, elinor, marianne and teen-age tomboy margaret, are cruelly deprived of their home and inheritance on the death of their father. the law decrees that magnificent norland park must pass to his son by a previous marriage, the girls stepbrother john, who is partnered in life by the genteely grasping fanny. the impoverished dashwoods are saved from further humiliation by mrs. dashwoods cousin, sir john middleton. he offers them a new home, barton cottage, on his vast devonshire estate. bowling based on novel servant country life jane austen inheritance military officer period drama rainstorm horse and carriage decorum"
tt0114429,shirli-myrli
tt0114432,hidden assassin
tt0114465,ski school 2
tt0114478,"smoke: writer paul benjamin is nearly hit by a bus when he leaves auggie wrens smoke shop. stranger rashid cole  saves his life, and soon middle-aged paul tells homeless rashid that he wouldnt mind a short-term housemate. still grieving over his wifes murder, paul is moved by both rashids quest to reconnect with his father and auggies discovery that a woman who might be his daughter is about to give birth. a group of peoples lives intertwine when a new york cigar store manager, auggie (keitel), befriends them. among them is a writer who cant write (hurt), a reluctant father hiding from his past (whitaker), a streetwise teen with an unusual identity crisis, and auggies long-lost ex-girlfriend (channing), who returns with some surprising news! (miramax) smoking robber cigarette cigar laden independent film writer"
tt0114489,soldier boyz
tt0114496,"something to talk about: in one of her best-ever roles, julia roberts is grace, whose reaction to the infidelities of eddie (dennis quaid) turns the lives and loves of the people around her into something like falling dominoes. robert duvall, gena rowlands, kyra sedgwick and others in the years best ensemble of characters (jack matthews, newsday) co-star in this juicy, truthful story written by callie khouri a womans world is rocked when she discovers her husband is cheating on her. horse savannah based on true story family"
tt0114508,"species: in 1993, the search for extra terrestrial intelligence project receives a transmission detailing an alien dna structure, along with instructions on how to splice it with human dna. the result is sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye. an experiment mixing human and alien dna results in a beautiful young woman who escapes from a government lab on a quest to mate and reproduce. telepathy dna paranoia genetics instinct femme fatale alien on the run decapitation sexual attraction los angeles cocoon genetic engineering scientists alien dna"
tt0114622,north star
tt0114666,the tie that binds: john netherwood and his wife leann are fugitives who are both wanted for murder. they have a young daughter named janie and they want her back.
tt0114690,tokyo fist
tt0114709,"toy story: led by woody, andys toys live happily in his room until andys birthday brings buzz lightyear onto the scene. afraid of losing his place in andys heart, woody plots against buzz. but when circumstances separate buzz and woody from their owner, the duo eventually learns to put aside their differences. led by woody, andys toys live happily in his room until andys birthday brings buzz lightyear onto the scene. afraid of losing his place in andys heart, woody plots against buzz. but when circumstances separate buzz and woody from their owner, the duo eventually learns to put aside their differences. [pixar] jealousy toy boy friendship friends rivalry boy next door new toy toy comes to life"
tt0114732,the three brothers
tt0114781,"under siege 2: dark territory: a passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. he has planned to blow up washington dc and only one man can stop him, former navy seal casey ryback. casey ryback (steven seagal) boards a colorado to la train to start a vacation with his niece (katherine heigl). early into the trip, terrorists board the train and use it as a mobile headquarters to hijack a top secret destructive us satellite. terrorist pentagon satellite navy seal train"
tt0114787,"underground: a group of serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate."
tt0114825,"vampire in brooklyn: maximillian, the lone survivor of a race of vampires, comes to brooklyn in search of a way to live past the next full moon. his ticket to survival is rita, a nypd detective who doesnt know shes half vampire -- and maximillian will do whatevers necessary to put her under his spell. maximillian meets a beautiful lady copand begins to woe her;but, his hynotic seduction takes a macabre turn when he tries to make her his mate for eternity. vampire half vampire"
tt0114863,ulysses gaze
tt0114996,a chinese odyssey: part 2 - cinderella
tt0115005,xiu xiu: the sent-down girl
tt0115040,the garden
tt0115433,"101 dalmatians: the live action adaptation of a disney classic. when a litter of dalmatian puppies are abducted by the minions of cruella de vil, the parents must find them before she uses them for a diabolical fashion statement. unleashing every ounce of disney magic, 101 dalmatians thrilled audiences of all ages with fast-paced adventure and comedy -- featuring a brilliant performance by glenn close as cruella de vil.  (disney) london england fur fashion designer puppy based on childrens book dog dalmatian"
tt0115472,the adventures of pinocchio
tt0115530,american buffalo: three inner-city losers plan a robbery of a valuable coin in a seedy second-hand junk shop. robbery gun loyalty frustration revenge betrayal independent film coin diner lesbian vulgarity african american crime trust poker game criminal dialogue driven tantrum rainstorm broken glass minimal cast antique dealer station wagon
tt0115568,army
tt0115577,asphalt tango
tt0115610,"bad moon: one mans struggle to contain the curse he hides within... and his last-ditch attempt to free himself with the love of family. but when it looks as if he is losing his battle, and endangering all he holds most dear, the family dog, thor, is the last hope for his familys survival... and the end to his werewolf curse. werewolf dog norse mythology animal horror lycanthrope"
tt0115633,bastard out of carolina: an unflinching tale about a young girl who suffers terribly at the hands of her stepfather.
tt0115639,beautiful girls: an all-star cast sparks this comedy about a group of old friends whose 10-year high school reunion creates some unexpected surprises. (miramax)
tt0115650,the green planet
tt0115658,bernie
tt0115676,"big bully: a writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again. bully"
tt0115685,the birdcage: a gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancs right-wing moralistic parents. mike nichols remakes la cage aux folles. the comedy features a flamboyant gay couple (williams and lane) who attempt to play it straight for their sons prospective in-laws. gay drag queen homophobia florida coming out senator politician lgbt crossdressing 1990s
tt0115701,blast
tt0115736,"bound: corky, a tough female ex con and her lover violet concoct a scheme to steal millions of stashed mob money and pin the blame on violets crooked boyfriend caeser. a provocative and passionate thriller from the creators of the matrix series. prison womens prison suspense mafia lesbian gangster ex-con woman director"
tt0115738,box of moonlight
tt0115742,boys
tt0115744,"brassed off: a story about two old friends -- and ex-lovers -- whose surprise reunion turns their lives, and the lives of everyone else in town, hilariously upside down!  (miramax)"
tt0115751,"breaking the waves: in a small and conservative scottish village, a womans paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living. set in a remote coastal village in northern scotland, this is the extraordinary tale of a young womans love and devotion to her husband, recently paralyzed in an oil rig accident. underdog scotland prostitute paraplegic tradition excommunication authority social coercions society dying and death faith prayer world religion god priest independent film mother daughter relationship church disabled oil platform"
tt0115783,"bulletproof: an undercover police officer named rock keats befriends a drug dealer and car thief named archie moses in a bid to catch the villainous drug lord frank coltan. but the only problem is that keats is a cop, his real name is jack carter, and he is working undercover with the lapd to bust moses and colton at a sting operation the lapd has set up. once inseparable pals, archie moses (adam sandler) and rock keats (damon wayans) find themselves on opposite sides of the law, each feeling betrayed by the other. in fact, the only person who hates them more than they hate each other is ruthless drug kingpin frank colton (james caan), who wants to put them both six feet under! now, through a strange twist of fate, moses and keats are on the run - together. with a little luck, the bungling boys just might get out of this one alive... if they dont kill each other first! undercover friendship police cop bullet wound drug drug lord"
tt0115794,bambola
tt0115836,"carpool: when a harried businessman and a hapless crook collide on the biggest day of both their careers, the only road seems to lead straight to comic disaster.  (warner bros.)"
tt0115940,"a summers tale: gaspard (melvil poupaud), a recent university graduate, arrives at the seaside in bretagne for a three week vacation before starting a new job. hes hoping his sort-of girlfriend, the fickle lena (aurelia nolin), will join him there; but as the days pass, he welcomes the interest of margot (amanda langlet), a student of ethnology working as a waitress for the summer. things start to get complicated when the spoken-for margot encourages gaspard to have a summer romance with her friend, solene (gwenaelle simon), and he complies. when lena turns up, and scheduling complications abound, gaspard will have to make a choice. [big world pictures]"
tt0115994,"curdled: gabriella, a columbian immigrant, is obsessed with understanding violent crime. the current string of murders by the blue blood killer of affluent miami socialites provides her with fodder for her scrapbook of death. she lands a job with a post-murder cleaning service and during a blue-blood clean-up job, discovers evidence that police have overlooked. miami cleaning lady bakery murder suspense serial killer decapitation blood falling from height samurai sword"
tt0116039,day of the warrior
tt0116040,daylight: a group of armed robbers fleeing the police head for the new jersey tunnel and run right into trucks transporting toxic waste. the spectacular explosion that follows results in both ends of the tunnel collapsing and the handful of people who survived the explosion are now in peril. kit latura is the only man with the skill and knowledge to lead the band of survivors out of the tunnel before the structure collapses. taxi new jersey helicopter river hero taxi driver race against time guard survival disaster new york city explosion power outage dog trapped flood tunnel christmas trapped underground action hero
tt0116116,devils island
tt0116165,"ed: thanks to a chimpanzee who turns out to be a natural baseball player and a born matchmaker, a troubled minor leaguers life goes on the upswing."
tt0116209,"the english patient: beginning in the 1930s, the english patient tells the story of count almsy who is a hungarian map maker employed by the royal geographical society to chart the vast expanses of the sahara desert along with several other prominent explorers. as world war ii unfolds, almsy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while almsy is on his death bed after being horribly burned in a plane crash. an epic film of adventure, intrigue, betrayal and love about four strangers whose diverse lives become inextricably connected.  (miramax films) cairo egypt identity amnesia world war ii burn landmine expedition cave sandstorm royal geographic society cave painting prisoners of war map mine clearer hearing desert scientist intelligence traitor mural painting airplane secret love"
tt0116225,"escape from l.a.: this time, a cataclysmic temblor hits los angeles, turning it into an island. the president views the quake as a sign from above, expels los angeles from the country and makes it a penal colony for those found guilty of moral crimes. when his daughter, part of a resistance movement, steals the control unit for a doomsday weapon, snake again gets tapped to save the day. snake plissken is once again called in by the united states government to recover a potential doomsday device from los angeles, now an autonomous island where undesirables are deported. prison usa president earthquake dystopia attempt to escape los angeles reluctant hero"
tt0116231,the bandit
tt0116240,the evening star
tt0116247,evil ed
tt0116261,eye of god
tt0116269,"faithful: a depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in. kitchen female protagonist bathtub wedding anniversary flashback"
tt0116274,familia
tt0116289,"feeling minnesota: feeling minnesota explores the tormented relationship between two brothers, sam (donofrio) and jjaks (reeves), and the young woman, freddie (diaz), who comes between them. (fine line)"
tt0116293,female perversions
tt0116308,"fire: in a barren, arranged marriage to an amateur swami who seeks enlightenment through celibacy, radhas life takes an irresistible turn when her beautiful young sister-in-law seeks to free herself from the confines of her own loveless marriage. deepa mehtas tender, passionate and controversial love story of two indian women torn between their devotion to duty and their desire for love and companionship.  (zeitgeist films) wife husband relationship infidelity coming out arranged marriage hinduism lesbian relationship homosexuality lesbian india lgbt woman director"
tt0116311,"first kid: a former boxer turned secret service agent is assigned to protect the presidents son, who seems determined to make life difficult for his new protector."
tt0116367,"from dusk till dawn: seth gecko and his younger brother richard are on the run after a bloody bank robbery in texas. they escape across the border into mexico and will be home-free the next morning, when they pay off the local kingpin. they just have to survive from dusk till dawn at the rendezvous point, which turns out to be a hell of a strip joint. george clooney and quentin tarantino star as the gecko brothers -- two dangerous outlaws on a wild crime spree. after kidnapping a father (keitel) and his two kids (lewis), the geckos head south to a seedy mexican bar to hide out in safety. but when they face the bars truly notorious clientele, theyre forced to team up with their hostages in order to make it out alive. (dimension) dancing brother brother relationship sexual obsession showdown sheriff eroticism nudity bank robber vampire holy water siege stripper priest explosion extreme violence bank robbery preacher hostage situation crucifix recreational vehicle blood spurting convenience store female vampire mexican american border nightclub entertainer boa constrictor"
tt0116405,getting away with murder
tt0116407,ghatak: lethal
tt0116426,the god of cookery
tt0116480,hamsun
tt0116506,hearts & minds
tt0116514,"hellraiser: bloodline: in the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of hell and unleashes pinhead and his cenobite legions the fourth entry in the hellraiser series. in the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of hell and unleashes pinhead and his cenobite legions. artificial intelligence engineer hell pinhead demon puzzle box cenobites artificial"
tt0116587,"hustler white: reminiscent of sunset boulevard, hustler white transposes the action from the silver screens old movie backlots to contemporary male prostitution and the porn industry. said to be an homage to classic hollywood cinema."
tt0116681,body troopers
tt0116692,beyond silence
tt0116695,"jerry maguire: jerry maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. then, one day, he suddenly has second thoughts about what hes really doing. when he voices these doubts, he ends up losing his job and all of his clients, save rod tidwell, an egomaniacal football player. maguire (cruise), a high-powered sports agent, is enchanted by a young mother (zellweger) who believes in him and oversees the career comeback of his struggling football player client ron tidwell (cuba gooding jr.). stadium career sport sports agent"
tt0116705,"jingle all the way: meet howard langston, a salesman for a mattress company is constantly busy at his job, and he also constantly disappoints his son, after he misses his sons karate exposition, his son tells howard that he wants for christmas is an action figure of his sons television hero, he tries hard to to make it up to him. unfortunately for howard, it is christmas eve, and every store is sold out of turbo man, now howard must travel all over town and compete with everybody else to find a turbo man action figure. a father vows to get his son a turbo man action figure for christmas. however, every store is sold out of them, and he must travel all over town and compete with everybody else in order to find one. holiday christmas party santa claus toy puppet christmas turboman navidad"
tt0116752,drifting clouds
tt0116756,"kazaam: when young max bumps into an abandoned boom box, hes shocked when it releases a tall, black genie named kazaam (oneal), who grants the kid three wishes. the two become friends, and max wants kazaam to help him track down and ultimately save his father from criminal entanglements."
tt0116763,khamoshi the musical
tt0116767,kids return
tt0116791,killer condom
tt0116828,the last days of frankie the fly
tt0116851,leila
tt0116852,leily is with me
tt0116860,"pretty village, pretty flame"
tt0116883,lilla jonssonligan och cornflakeskuppen
tt0116897,little witches
tt0116905,"lone star: when the skeleton of his murdered predecessor is found, sheriff sam deeds unearths many other long-buried secrets in his texas border town. the unearthing of human bones and a rusty sheriffs badge on a rifle range in a texas border town resurrects painful memories for a young lawman (cooper), drawing him into an intricate, fascingatingly woven web of ethical, familial, and intercultural conflicts. sheriff family secrets neo-western dark secrets"
tt0116922,"lost highway: a tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell. this neo-noir is a mesmerizing meditation on the mysterious nature of identity from director david lynch.  (october films) schizophrenia prison pornography sadistic dual identity jealousy dream eroticism sexual frustration violent husband paranoia headache impotence motel prison cell jazz musician nightmare gangster boss vicious circle car mechanic videoband hallucination cadillac suspicion bloodthirstiness bedroom housebreaking highway surreal identity crisis dying and death transformation police insanity murder car crash extramarital affair female corpse"
tt0117002,"mary reilly: a housemaid falls in love with dr. jekyll and his darkly mysterious counterpart, mr. hyde. the story of dr. jekyll and mr. hyde through the the eyes of dr. jekylls maid mary reilly (julia roberts).  servant monster laboratory jekyll and hyde housemaid 19th century"
tt0117039,"michael collins: michael collins plays a crucial role in the establishment of the irish free state in the 1920s, but becomes vilified by those hoping to create a completely independent irish republic. in ireland, where national pride is a passion akin to religion and romantic love, one man became a legend for his fierce devotion to his land and its independence. liam neeson stars as michael collins in a story about the real-life patriot whose bravery and unswerving dedication to the irish people changed history as it made him into a legend. collins quest would bring a man raised on war into an even more dangerous battle for peace. it would cost him his life but would make him a hero for the ages.  (warner bros.) civil war fight presidential election freedom fighter chinese civil war ireland"
tt0117056,the mirror
tt0117060,"mission: impossible: when ethan hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the cia, hes surprised to learn that hes the no. 1 suspect. to clear his name, hunt now must ferret out the real double agent and, in the process, even the score. ethan hunt (tom cruise) is a secret agent framed for the deaths of his espionage team. fleeing from government assassins, breaking into the cias most impenetrable vault, clinging to the roof of a speeding bullet train, hunt races like a burning fuse to stay one step ahead of his pursuers... and draw one step closer to discovering the shocking truth. [paramount] paris london england spy cia terrorist secret identity undercover arms deal headquarter secret base secret mission prague embassy secret agent tgv computer mission based on tv series espionage agent"
tt0117070,mojave moon
tt0117128,mystery science theater 3000: the movie: mike nelson and his robot companions watch and give their comments about this island earth.
tt0117143,nach funf im urwald
tt0117214,"a moment of innocence: a semi-autobiographical account of makmahlbafs experience as a teenager when, as a 17-year-old, he stabbed a policeman at a protest rally. two decades later, he tracks down the policeman he injured in an attempt to make amends. mohsen makhmalbafs film is based on his own experience as a young islamic radical in 1974 when he attemped to stab a policeman and landed himself in prison for the act.  five years after his release from prison, the same policeman, then unemployed turned up to audition for one of makhmalbafs films.  makhmalbaf and the policeman each play themselves in the film. gun winter marriage proposal flower policeman"
tt0117238,omega doom
tt0117260,"original gangstas: a violent street gang, the rebels, rule the streets of gary, indiana. the rebels shoot marvin bookman, a store-keeper, for giving the police information about a drive-by shooting they committed. marvins son, former nfl star john who created the rebels, returns to gary to be with his father and, with a little help from his friends, to destroy the rebels his way. vigilante blaxploitation b movie violence drive by shooting gang violence street shootout hand to hand combat gangsters"
tt0117283,the pallbearer
tt0117293,paradise lost: the child murders at robin hood hills
tt0117315,the father
tt0117318,"the people vs. larry flynt: larry flynt is the hedonistically obnoxious, but indomitable, publisher of hustler magazine. the film recounts his struggle to make an honest living publishing his girlie magazine and how it changes into a battle to protect the freedom of speech for all people. woody harrelson stars as publishing maverick larry flynt, who becomes the unlikely champion of the first amendment when he takes his fight against the rev. jerry falwell all the way to the supreme court.   (sony pictures entertainment) poison pornography free love aids eroticism group sex wheelchair last judgment court case sentence airplane baptism vulgar millionaire drugs and addiction disabled"
tt0117372,"the preachers wife: good natured reverend henry biggs finds that his marriage to choir mistress julia is flagging, due to his constant absence caring for the deprived neighborhood they live in. on top of all this, his church is coming under threat from property developer joe hamilton. in desperation, rev. biggs prays to god for help - and help arrives in the form of an angel named dudley. angel church choir gospel reverend crisis of faith woman director"
tt0117412,pedale douce
tt0117427,race the sun
tt0117477,"ridicule: to get royal backing on a needed drainage project, a poor french lord must learn to play the delicate games of wit at court at versailles. to get royal backing on a needed drainage project, a poor french lord must learn to play the delicate games of wit at court at versailles. painter sex flower bedroom court rabbit epidemic  drainage project  powder 18th century"
tt0117482,ripe
tt0117500,"the rock: a group of renegade marine commandos seizes a stockpile of chemical weapons and takes over alcatraz, with 81 tourists as hostages. their leader demands $100 million to be paid, as restitution to families of marines who died in covert ops ai or he will launch 15 rockets carrying deadly vx gas into the san francisco bay area. all of san francisco is taken hostage when a vengeful general (ed harris) seizes control of alcatraz island, threatening to launch missiles loaded with deadly poison gas. with time running out, only a young fbi chemical weapons expert (nicolas cage) and a notorious federal prisoner (sean connery) have the skills to penetrate the island fortress and defuse the lethal situation.  [buena vista entertainment] san francisco fbi gas attack alcatraz hostage situation fbi agent"
tt0117533,sabotage
tt0117571,"scream: a killer known as ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the rules of horror films as they find themselves living in a real-life one. after a series of mysterious deaths befalls their small town, an offbeat group of friends led by sydney prescott (neve campbell) become the target of a masked killer. as the body count begins to rise, sydney and her friends find themselves contemplating the rules of horror films as they find themselves living in a real-life one. [miramax] halloween gore serial killer slasher tabloid news reporter self-referential meta film"
tt0117609,sgt. kabukiman n.y.p.d.
tt0117611,shadow builder
tt0117688,solo
tt0117690,some mothers son
tt0117723,"spy hard: leslie nielsen stars as the hilarious agent wd-40, lured back into service by the agency, in this outrageous comedy hit that blends high-tech adventure with high-spirited humor.  (bv entertainment)"
tt0117768,the stupids
tt0117797,swallowtail butterfly
tt0117802,"swingers: this is a story about mike, a guy who left his girl in new york when he came to la to be a star. its been six months since his girlfriend left him and hes not doing so good. so, his pal and some other friends try and get him back in the social scene and forget about his 6 year relationship. set in the back streets and sometimes hidden clubs of hollywood, swingers is an ensemble comedy about five guys, all in their twenties, all coping with the mysteries of life and women.  (miramax films) independent film stuffed animal hollywood drink swinger producer following someone name calling aspiring actor actor"
tt0117826,"bordello of blood: private eye rafe guttman is hired by repressed, born-again katherine to find her missing bad-boy brother. the trail leads him to a whorehouse run by a thousand-year-old vampire and secretly backed by katherines boss, televangelist jimmy current. the crypt keeper returns to tell the story of a funeral parlor that moonlights as a vampire bordello. female nudity brothel vampire private investigator born again christian televangelist"
tt0117891,a thin line between love and hate
tt0117894,thinner: an obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.
tt0117898,"this world, then the fireworks"
tt0117909,earth
tt0117913,"a time to kill: a young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the kkk. a murder trial brings a small mississippi towns racial tensions to the flashpoint. amid a frenzy of activist marches, klan terror, media clamor and brutal riots, an unseasoned but idealistic young attorney mounts a stirring courtroom battle for justice.  (warner bros.) ku klux klan rape mississippi jurors blackmail attempted murder forgiveness court shooting murder suspense lawyer trial courtroom racial tension kkk racial issues courtroom drama"
tt0117924,"to gillian on her 37th birthday: david loves his wife, gillian. unfortunately, she died two years ago. david deals with his grief by continuing his romance with gillian during walks with her ghost on the beach at night. while david lives in the past, other family problems crop up in the present in the real world.... beach grief"
tt0117951,"trainspotting: renton, deeply immersed in the edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends. renton (ewan mcgregor), a twenty-something junkie, is deeply immersed in the edinburgh drug scene. he must choose to clean up and get out, or continue following the allure of the drugs and the influence of friends. london england alcohol sex based on novel drug addiction drug dealer nightclub junkie heroin cold turkey modern society hallucination friendship surrealism dark comedy stealing monologue cult film recovering drug addict illegal drugs drug deal drug rehabilitation drug culture antihero"
tt0117958,"trees lounge: tommy is an unemployed mechanic who spends most of his time in a bar (trees lounge) in a small blue collar town. he seems to always be thinking, if only x then i could stop drinking."
tt0118011,premeditated murder
tt0118073,"a very brady sequel: the bradys receive a surprise visit when a man claiming to be carols long-lost first husband shows up at their residence, the family question his motives."
tt0118138,werner - das muss kesseln!!!
tt0118147,"when we were kings: its 1974. muhammad ali is 32 and thought by many to be past his prime. george foreman is ten years younger and the heavyweight champion of the world. promoter don king wants to make a name for himself and offers both fighters five million dollars apiece to fight one another, and when they accept, king has only to come up with the money. he finds a willing backer in mobutu sese suko, the dictator of zaire, and the rumble in the jungle is set, including a musical festival featuring some of americas top black performers, like james brown and b.b. king. an unforgettable account of the rumble in the jungle, this oscar-winning film captures all the magic of muhammad ali at the peak of his triumphant career.  (universal) underdog boxer disrespect sport zaire history african american muhammad ali summit sympathy endurance sports history boxing"
tt0118521,u2: zoo tv live from sydney
tt0118540,"4 little girls: on september 15, 1963, a bomb destroyed a black church in birmingham, alabama, killing four young girls who were there for sunday school. it was a crime that shocked the nation -- and a defining moment in the history of americas civil-rights movement. now, acclaimed filmmaker spike lee tells the full story of the bombing, through heart-wrenching testimonials from surviving members of the victims families, insights from bill cosby, walter cronkite, andrew young, coretta scott king and many others, and a rare and revealing interview with former alabama governor george wallace.  [hbo documentary films]"
tt0118541,"8 heads in a duffel bag: all gangster tommy spinelli (pesci) wants to do is board a plane and get to san diego so that he can deliver his carry-on duffel bag to his boss. unfortunately, the bag is dumped during boarding and is switched with that of a mexican-bound medical student...who has no idea that the bag he now carries contains the severed heads of eight los angeles gang- sters! (mgm)"
tt0118589,"glitter: similar to mariahs life story. mariah plays the role of a young singer who is eager to become a big star. she dates a dj who helps her get into the music business. the story of a young singer, billie frank (carey), who overcomes a turbulent childhood and struggles to find her true family and her true voice.  (20th century fox) talent career woman talent show movie star"
tt0118660,auzaar
tt0118663,"b*a*p*s: can two clueless georgia homegirls with big hearts -- and even bigger hair -- find happiness, fame and thrills in the swank hills of beverly? anything is possible when you are b.a.p.s. they revive blakemores interest for life, and he teaches them to be black american princesses in return. burglar restaurant millionaire guilt irreverence nephew"
tt0118665,"baby geniuses: scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin. two doctors (turner and lloyd) set out to dominate the world once they discover they can crack the code to a secret baby language. baby genius toddler baby geniuses"
tt0118715,"the big lebowski: jeffrey the dude lebowski, a los angeles slacker who only wants to bowl and drink white russians, is mistaken for another jeffrey lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money. the dude, jeff lebowski is unemployed and as laid-back as they come. that is until he becomes a victim of mistaken identity, and two thugs break into his apartment with the errant belief that theyre strong-arming jeff lebowski - the pasadena millionaire. in the hope of getting a replacement for his soiled carpet, the dude pays a visit to his wealthy namesake... white russian dude bowling vietnam veteran carpet nihilism heart attack kidnapping lsd marijuana los angeles millionaire cowboy ashes impregnation bowling team unemployed bowling ball weeds"
tt0118749,"boogie nights: set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer jack horner aspires to elevate his craft to an art form. horner discovers eddie adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. adams rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, dirk diggler. now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, adams dreams of turning sex into stardom are about to collide with cold, hard reality. a multifaceted look at the porn industry in los angeles in the 70s and 80s, focusing on the journey of a young man (wahlberg) from restaurant dishwasher to porn star and beyond. pornography sex porn actor pornographic video from rags to riches drug porn industry gay lead character"
tt0118750,"booty call: rushon is sexually pent-up and ready to take thing things to the next level with his girlfriend, nikki. but when he calls for a date, she asks to make it a double -- bringing along her brash friend lysterine, whom rushon sets up with his lewd buddy, bunz. things go better than expected. as the evening transitions from the restaurant to the bedroom, the two men go on a madcap search for what will surely make the night complete: condoms. an outrageous comedy about the one thing men and women both want: each other.  (sony) date sexuality blind date friendship romantic comedy best friend"
tt0118751,border
tt0118755,the borrowers
tt0118788,lucky star
tt0118818,"career girls: 2 young women reunite and rekindle their friendship after having said goodbye at their college graduation, six years earlier."
tt0118819,live flesh: a scorned ex-convict forces himself into the lives of the couple who put him behind bars. an obsessed victor (rabal) tries to get with elena (neri). policemen david (bardem) and sancho (sancho) are called in. victor is sent to jail after accidently shooting david and seeks them out after he gets out of jail. sexual obsession prostitute adultery adolescence drug abuse sexual abuse madrid paraplegic bus pregnancy and birth
tt0118826,"the castle: a melbourne family is very happy living near the melbourne airport. however, they are forced to leave their beloved home (by the government and airport authorities) to make way for more runways. the castle is the story of how they fight to remain in their home. underdog airport court case australian family history australia court cult comedy kickboxing david and goliath"
tt0118843,"black cat, white cat: the film centers around a group of gypsies who live on the banks of the danube river.  (usa films)"
tt0118849,"children of heaven: zohres shoes are gone; her older brother ali lost them. they are poor, there are no shoes for zohre until they come up with an idea: they will share one pair of shoes, alis. school awaits... when ali loses his sister zahras school shoes, this young pair dream up a plan to stay out of trouble: theyll share his shoes and keep it a secret from their parents. but if theyre going to successfully cover their tracks, ali and zahra must carefully watch their step on what rapidly turns into a funny and heartwarming adventure. brother sister relationship class foot race"
tt0118852,chinese coffee
tt0118927,"dangerous ground: vusi madlazi returns to the south african village he left as a young boy to bury his father. he meets up with his brother ernest, who tells him their other brother stephen couldnt be contacted. vusi goes to johannesburg to find him, but at first can only find his neighbor/girlfriend, karin, a stripper. vusi proceeds to learn how conditions have changed since the end of apartheid, not always for the better for black men. independent film"
tt0118998,"doctor dolittle: a successful physician and devoted family man, john dolittle (eddie murphy) seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! now every creature within squawking distance wants the good doctors advice, unleashing an outrageous chain of events that turns his world upside down! eddie murphy stars as a veterinarian who talks to the animals and can hear them talk back. talking to animals woman director"
tt0119008,donnie brasco: an fbi undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one. al pacino and johnny depp head an all-star cast in this gangland thriller about an undercover fbi agent who befriends a hitman to gain entry to the mob. (sony) undercover colombia mafia mobster dirty cop informant stealing money marriage counselor shaving cream playing cards
tt0119038,"le diner de cons: each week, pierre and his friends organize what is called as un dner de cons. everyone brings the dumbest guy he could find as a guest. pierre thinks his champ -franois pignon- will steal the show. a group of friends holds a competition each week to see who can bring the most idiotic guests to dinner. fool tax inspector"
tt0119072,the first semester
tt0119084,the ex
tt0119086,excess baggage: an offbeat adventure about a poor little rich girl and the car thief who steals her heart.  (sony)
tt0119088,executive target
